quantity,unit,ingredient,ingredient_step,recipe_id
1,oz,tia maria (or other coffee liqueur),2,121
2,oz,heavy cream,3,121
2,oz,butterscotch schnapps,0,122
1 1/2,oz,baileys irish cream,1,122
6,oz,milk,2,122
1/2,oz,chocolate syrup,3,122
2,oz,good-quality reposado tequila,0,123
1,oz,grand marnier,1,123
1,oz,lime juice,2,123
,,lime peel spiral,3,123
1,oz,sambuca,0,124
1,oz,kahlúa or tia maria,1,124
1,oz,heavy cream,2,124
1,oz,famous grouse blended scotch whiskey,0,125
1,oz,jameson irish whiskey,1,125
0.75,oz,lemon juice,2,125
0.5,oz,kassatly chtaura orgeat,3,125
1,oz,scotch whiskey,0,126
1,oz,irish whiskey,1,126
0.75,oz,lemon juice,2,126
0.75,oz,orgeat,3,126
2,oz,canadian blended whisky,0,127
1/2,oz,cointreau,1,127
1,teaspoon,simple syrup,2,127
2,dash,es angostura bitters,3,127
1,oz,white crème de cacao,0,128
1,oz,crème de banane,1,128
1,oz,heavy cream,2,128
1 1/2,oz,gin,0,129
1/2,oz,limoncello,1,129
1/4,oz,peach schnapps,2,129
1,oz,grapefruit juice,3,129
1,oz,mango juice,4,129
,dash,of orgeat (or almond) syrup,5,129
1,oz,gold or dark rum,0,130
1,oz,crème de banane,1,130
1/2,oz,apricot brandy,2,130
1/2,oz,lemon juice,3,130
,dash,of sloe gin,4,130
,,banana slice,5,130
1,oz,gin,0,131
1,oz,crème de banane,1,131
1,oz,blue curaçao,2,131
1,oz,lemon juice,3,131
1/2,oz,heavy cream,4,131
,dash,of grenadine,5,131
,,orange slice,6,131
,,maraschino cherry,7,131
2 1/2,oz,light rum,0,132
1/2,oz,cointreau,1,132
1/2,oz,maraschino liqueur,2,132
1/2,oz,lime juice,3,132
1 1/2,oz,bourbon,0,133
3/4,oz,sweet marsala,1,133
3/4,oz,kahlúa,2,133
1,oz,heavy cream,3,133
4,cl,old tom gin,0,134
1,cl,marachino,1,134
1,cl,orange bitters,2,134
1,cl,lemon juice,3,134
1 1/2,oz,gold rum,0,135
3/4,oz,calvados,1,135
1 1/2,oz,orange juice,2,135
1,oz,lime juice,3,135
1,,teaspooon sugar,4,135
,,lime wedge,5,135
1 1/2,oz,gold rum,0,136
3/4,oz,white rum,1,136
1/4,oz,tia maria,2,136
1/4,oz,triple sec,3,136
1 1/2,oz,lime juice,4,136
,dash,of grenadine,5,136
,,mint sprig,6,136
9,cl,chilled champagne,0,137
1,cl,cognac,1,137
2,dash,es angostura bitters,2,137
1,,sugar cube,3,137
1.5,oz,cognac,0,138
0.75,oz,lemon,1,138
0.5,oz,green chartreuse,2,138
0.5,oz,simple syrup,3,138
2,dash,es angostura bitters,4,138
2,oz,hine vsop cognac,0,139
0.75,oz,lemon juice,1,139
0.5,oz,green chartreuse,2,139
0.25,oz,simple syrup,3,139
1,dash,angostura bitters,4,139
3,,glasses cognac [6 oz.],0,140
1,,glass chartreuse [2 oz.],1,140
1.5,,glasses sweetened lemon juice [3 oz.],2,140
1,dash,angostura bitters,3,140
1.5,oz,cognac,0,141
0.5,oz,green chartreuse,1,141
0.25,oz,lemon juice,2,141
0.125,oz,simple syrup,3,141
2,dash,es angostura bitters,4,141
1 1/2,oz,silver tequila,0,142
1/2,teaspoon,cointreau (or triple sec),1,142
1,oz,orange juice,2,142
1/2,oz,lemon juice,3,142
1/4,oz,grenadine,4,142
,,orange slice,5,142
1,oz,apricot brandy,0,143
1,oz,sloe gin,1,143
1,oz,lime juice,2,143
1,oz,marie brizard apry,0,144
1,oz,sloe gin,1,144
1,oz,lime juice,2,144
1.25,oz,green chartreuse,0,145
1,oz,pineapple juice,1,145
0.75,oz,lime juice,2,145
0.5,oz,velvet falernum,3,145
2,oz,gin,0,146
3/4,oz,cherry heering,1,146
1/4,oz,crème de cassis,2,146
1/4,oz,lemon juice,3,146
1/4,oz,simple syrup,4,146
,,lemon slice,5,146
,,maraschino cherry,6,146
,,mint sprig,7,146
1,oz,gold tequila,0,147
1,oz,cherry brandy,1,147
1/2,oz,lime juice,2,147
1,oz,apple juice,3,147
,,lime twist,4,147
3/4,oz,amaretto,0,148
3/4,oz,baileys irish cream,1,148
3/4,oz,dark crème de cacao,2,148
1 1/2,oz,gold tequila,0,149
3/4,oz,godiva liqueur,1,149
1/2,oz,cointreau,2,149
1,oz,sweet-and-sour,3,149
1/4,oz,orange juice,4,149
2,oz,dolin dry vermouth,0,150
0.75,oz,benedictine,1,150
0.25,oz,vieux pontarlier absinthe,2,150
1,dash,house orange bitters,3,150
1 1/2,oz,bourbon,0,151
1,oz,brandy,1,151
1/2,oz,triple sec,2,151
4,oz,chilled ginger ale,3,151
1,,"lime, quartered",0,152
1,tablespoon,honey,1,152
1,oz,damiana liqueur,2,152
1 1/2,oz,rum barbancourt,3,152
3,oz,tangerine juice,4,152
1,oz,gin,0,153
1,oz,dry vermouth,1,153
0.5,oz,triple sec,2,153
0.5,oz,apricot brandy,3,153
1 1/4,oz,gin,0,154
1 1/4,oz,rose’s lime juice,1,154
,,lime wedge,2,154
2 1/2,oz,blended scotch,0,155
1/2,oz,sweet vermouth,1,155
,dash,of angostura bitters,2,155
,,maraschino cherry,3,155
1 1/2,oz,silver tequila,0,156
,,lime wedge,1,156
,,kosher salt,2,156
1,,-1/2 oz. gin [tanqueray],0,157
1/2,oz,yellow chartreuse,1,157
1/2,oz,grapefruit juice,2,157
1/4,oz,simple syrup,3,157
1/4,oz,lemon juice,4,157
2,oz,plymouth gin,0,158
3/4,oz,yellow chartreuse,1,158
3/4,oz,grapefruit juice,2,158
1/4,oz,lemon juice,3,158
1.5,oz,gin,0,159
0.75,oz,simple syrup,1,159
0.75,oz,lemon juice,2,159
0.25,oz,raspberry syrup,3,159
2,tsp,egg white,4,159
2,oz,gin,0,160
0.75,oz,lemon juice,1,160
0.75,oz,simple syrup,2,160
5,,raspberries [not 5 oz],3,160
1,,egg white,4,160
2,oz,plymouth gin,0,161
0.75,oz,lemon juice,1,161
0.5,oz,simple syrup,2,161
