quantity,unit,ingredient,ingredient_step,recipe_id
1.0,None,egg white,4,209
60.0,ml,plymouth gin,0,210
22.5,ml,lemon juice,1,210
15.0,ml,simple syrup,2,210
1.0,tsp,bonne maman raspberry preserves,3,210
1.0,None,egg white,4,210
45.0,ml,gin,0,211
15.0,ml,raspberry syrup,1,211
22.5,ml,lemon juice,2,211
60.0,ml,wild turkey rye,0,213
22.5,ml,dolin rouge sweet vermouth,1,213
22.5,ml,benedictine,2,213
3.0,dash,st. george absinthe,3,213
3.0,dash,peychauds bitters,4,213
60.0,ml,rye,0,214
15.0,ml,benedictine,1,214
15.0,ml,sweet vermouth,2,214
3.0,dash,peychauds bitters,3,214
3.0,dash,angostura bitters,4,214
3.0,dash,absinthe,5,214
30.0,ml,rye,0,216
30.0,ml,cognac,1,216
15.0,ml,benedictine,2,216
2.0,dash,peychauds,3,216
1.0,dash,absinthe,4,216
30.0,ml,gin,0,217
30.0,ml,kahlúa,1,217
30.0,ml,heavy cream,2,217
45.0,ml,malibu coconut rum,0,218
0.5,cup,coconut sorbet or gelato,1,218
30.0,ml,lime juice,2,218
30.0,ml,coconut milk,3,218
30.0,ml,pineapple juice,4,218
,None,pineapple wedge,5,218
,None,dusting of ground nutmeg,6,218
45.0,ml,bourbon,0,219
22.5,ml,crème de cacao,1,219
22.5,ml,lemon juice,2,219
45.0,ml,canadian whisky,0,220
15.0,ml,grand marnier,1,220
22.5,ml,lemon juice,2,220
,None,orange twist,3,220
60.0,ml,reposado tequila,0,221
60.0,ml,grapefruit juice,1,221
15.0,ml,campari,2,221
90.0,ml,chilled club soda,3,221
,None,orange twist,4,221
,ml,rittenhouse rye,0,222
,ml,buffalo trace bourbon,1,222
,ml,calvados,2,222
,ml,hine h cognac,3,222
1.0,tsp,rich demerara syrup,4,222
,dash,angostura bitters,5,222
1.0,dash,bittermens xocolatl mole bitters,6,222
75.0,ml,gin,0,223
15.0,ml,rose’s lime juice,1,223
,None,lime wedge,2,223
60.0,ml,captain morgan spiced rum,0,224
0.5,None,"banana, peeled and sliced",1,224
0.25,cup,or frozen raspberries,2,224
22.5,ml,lime juice,3,224
15.0,ml,simple syrup,4,224
2.0,None,raspberries,5,224
1.0,None,lime wheel,6,224
45.0,ml,cognac,0,226
15.0,ml,applejack,1,226
30.0,ml,sweet vermouth,2,226
2.0,dash,angostura bitters,3,226
60.0,ml,applejack,0,227
22.5,ml,sweet vermouth,1,227
22.5,ml,brandy,2,227
22.5,ml,lemon juice,0,229
0.25,None,wine glass kina lillet,1,229
0.25,None,wine glass cointreau,2,229
0.25,None,wine glass dry gin,3,229
1.0,dash,absinthe,4,229
22.5,ml,beefeater gin,0,230
22.5,ml,lillet blanc,1,230
22.5,ml,marie brizard orange curacao,2,230
22.5,ml,lemon juice,3,230
40.0,ml,citron vodka,0,231
15.0,ml,cointreau,1,231
15.0,ml,lime juice,2,231
30.0,ml,cranberry juice,3,231
60.0,ml,gin,0,232
30.0,ml,cointreau,1,232
30.0,ml,apricot brandy,2,232
60.0,ml,citron vodka,0,233
22.5,ml,cointreau,1,233
30.0,ml,cranberry juice,2,233
30.0,ml,lime juice,3,233
,None,lemon twist,4,233
45.0,ml,gin,0,235
22.5,ml,lemon juice,1,235
7.5,ml,grenadine,2,235
22.5,ml,ruby port,3,235
0.5,None,lime,0,236
60.0,ml,light rum,1,236
180.0,ml,chilled cola,2,236
50.0,ml,white rum,3,236
120.0,ml,cola,4,236
10.0,ml,lime juice,5,236
50.0,ml,white rum,0,237
120.0,ml,cola,1,237
10.0,ml,lime juice,2,237
30.0,ml,light rum,0,238
30.0,ml,cointreau,1,238
30.0,ml,lime juice,2,238
,None,lime twist,3,238
1.0,tbsp,sugar,0,240
30.0,ml,lime juice,1,240
0.25,cup,thinly sliced english cucumber,2,240
45.0,ml,silver tequila,3,240
30.0,ml,cointreau,4,240
60.0,ml,white rum,0,242
30.0,ml,lime juice,1,242
22.5,ml,simple syrup,2,242
60.0,ml,banks 5 island rum,0,243
22.5,ml,lime juice,1,243
22.5,ml,simple syrup,2,243
60.0,ml,light rum,0,244
30.0,ml,lime juice,1,244
15.0,ml,simple syrup,2,244
60.0,ml,bacardi rum,0,245
1.0,tsp,gum syrup,1,245
,None,juice of 1/2 lime,2,245
45.0,ml,white rum,0,246
25.0,ml,lime juice,1,246
15.0,ml,simple syrup,2,246
,None,juice of 6 limes,0,247
6.0,tsp,sugar,1,247
360.0,ml,bacardi cups,2,247
120.0,ml,mineral water,3,247
,None,crushed ice,4,247
45.0,ml,irish whiskey,0,249
22.5,ml,drambuie,1,249
22.5,ml,lemon juice,2,249
120.0,ml,chilled ginger ale,3,249
,None,lemon twist,4,249
30.0,ml,gin,0,251
22.5,ml,campari,1,251
52.5,ml,orange juice,2,251
,None,orange slice,3,251
22.5,ml,baileys irish cream,0,252
22.5,ml,dark crème de cacao,1,252
22.5,ml,vodka,2,252
0.25,cup,chocolate ice cream,3,252
,None,chocolate shavings,4,252
22.5,ml,brandy,0,255
